abandon,abandon
abandonment of,abandon
abolish,abolish
accede to pressure from,pressure
accelerate,accelerate
accept,accept
accept as,accept as
accept with,accept
accepted as,accept as
accepts,accept
access,access
accessing,access
accommodate,accommodate
accompanied,accompany
accuse,accused of
accused,accused of
accused in,accused in
accused of,accused in
achieve,achieve
achieved,achieve
acknowledge,acknowledge
acquiesce,acquit
acquire,acquire
acquired,acquire
acquit,vote to acquit
act as checks on,act as checks on
acted as,acted as
adapt,adapt
add,add
address,address
addressed,address
adjacent to,adjacent to
administer,administer
admire,admire
admit,admit
adopt,adopt
advance,advance
advance on,advance
advance to,advance
adversely affect,adversely affect
advise,advise
advised against,advised against
advisor,advisor
advocate,advocate for
advocate for,advocate for
advocated,advocate for
affect,affect
affirm,affirm
against,against
aggravate,aggravate
agree,agree
agree to,agree
agree to run for,run for
agree to withdraw,withdraw
agree to work,work
aim to comply with,comply with
alert,alert
align,align
allege,allege
allow,restrict
allowed release,release
allowing,restrict
allude to,allude to
analyses,analyse
analyze,analyse
annex,annex
announce,announce
answer,question
antagonize,antagonize
anti,anti
apologize for,apologize for
apologize to,apologize for
appeal,appeal for
appeal for,appeal for
appeal to,appeal for
appealed,appeal for
appealed to,appeal for
appear,appear
appear at,appear
appear in,appear in
appear on,appear
appearances on,guest appearances on
apply,apply to
apply to,apply to
appoint,appoint
appoint as,appoint
appointed,appoint
appointed as,appoint as
approach,approach
approached,approach
approve,approve
argue,argue
argue against,argue
argue for,argue
arise,arise
arm and train,arm and train
arouse,arouse
arrange,order
arrest warrant,arrest warrant
arrested by,arrested by
arrive in,bring in
ask,ask about
ask about,ask about
assassination,assassination
assemble,assemble
assert,assert
assert right to intervene,assert right to intervene
assess,assess
assign,assigned to
assigned to,assigned to
assist,assist
assume,assume
assume ownership,assume ownership
assumed,assume
assumed position,assumed position
assumes,assume
assured of,assured of
attack,attack
attempt,attempt
attempt occupation,attempt occupation
attempted rollback halted by,attempted rollback halted by
attempted to recruit,attempted to recruit
attend,attend
attends,attend
attract,attract
attribute,attribute
auctioned,auction
author,author
authorize,authorize
average,average
avert,avert
avoid,prevent
avoid mention of,avoid mention of
avoided discussions about,avoided discussions about
award,award
awarded,award
aware of,aware of
back,back down
back down,back down
backed,back down
balance,balance
ban,prohibit
baptize,baptize
bar,bar
bask in,bask in
be active in,be active in
be at odds with,be at odds with
be critical of,be critical of
be good for,be good for
be in,appear in
be with,live with
be worth,be worth
became,become
became active in,be active in
become,become
become effective,become effective
begin,start
begin career in,begin career in
begin construction in,begin construction in
believe,believe in
believe in,believe in
belonging to,belonging to
benefit from,benefit from
bill,bill
blame,blame
blind to,blind to
block,block
blocked,block
bolster,bolster
boost,boost
born in,born in
born on,born on
borrow,lend
bought,buy
break,break
bring,bring in
bring in,bring in
bring into violation,bring into violation
broke,break
build,build
built for,built for
burnt,burn
business associate of,business associate of
buy,buy
call,call
call for,call
call for end,call for end
call for resignation,resign
call for restrictions on,call for restrictions on
call on,call
campaign,campaign
campaign against,campaigns against
campaign for,campaign
campaigned for,campaign for
campaigns against,campaigns against
cancel,cancel
capitalize on,capitalize on
capture,capture
care,cared by
cared by,cared by
carry,carry out
carry out,carry out
cast,cast
cast vote in support of,cast vote in support of
categorize,classify
cause,cause
caused,cause
cease,cease
celebrate,celebrate
cement,cement
centralise,centralise
certified,certify
chair,chair
change,change
characterize,characterize
characterized by,characterized by
charge,charge with
charge with,charged with
charged with,charged with
cheat,cheat
check,check
child of,child of
choose,decide
circumvention,circumvention
cite,cite
cited,cite
claim,claim
claim responsibility for,claim responsibility for
clarify,clarify
classify,classify
clear,clear
cleared,clear
clerk for,clerked at
clerked at,clerked at
close,close
co-authored,author
co-found,co-found
co-founded,co-founded
co-host,co-host
co-opt,co-opt
co-produce,co-produce
co-producer,co-produce
co-sponsor,co-sponsor
coalesce around,coalesce around
codify,codify
cofound,cofound
coincide with,coincide with
collaborate,collaborate closely with
collaborate closely with,collaborate closely with
collapse,collapse
collect,collect
collected,collect
combat,fight
combine,combine with
combine with,combine with
come from,come from
commence,commence
commend,commend
comment on,comment on
commentary in,commentary in
commission,commission
commit,commit to
commit to,commit to
committed to,commit to
communicate,communicate
communicate with,communicate
commute,commute
compare,compare
compare to,compare
compete,compete for
compete against,compete
compete for,compete for
complete,complete
complete denuclearization,complete denuclearization
comply,comply
comply with,comply
compose,compose
composed of,consist of
compromise,compromise
concede,concede to
concede to,concede to
concern,concerned about
concerned about,concerned with
concerned with,concerned with
conclude,conclude
condemn,condemn
condemned as,condemn
conduct,conduct
conducted by,conducted by
confident in,confident in
confirm,not confirm
confirms,not confirm
conflict,conflict
conflict with,conflict
confront,confront
confronted by,confronted by
congratulate,congratulate
connect with,connect with
consider,consider
considered,consider
considers,consider
consist of,consists of
consists of,consists of
consolidate,merge
construct,construct
consult,consult
consultant,consultant to
consultant to,consultant to
consummate,consummate
contact,contact
contain,contain
contemplated,contemplate
contend,contend
continue,continue
contradict,contradict
contrast,contrast
contribute to,contribute to
contributed to,contribute to
control,take control
convene,convene
convert,convert
convict,convict
convicted of,accused of
convince,convince
cooperate,cooperate
copy,copy
correlate,correlate
cosponsor,cosponsor
cost,cost
could build,build
count,counted on
counted on,counted on
countered,countersue
countersue,countersued
countersued,countersued
cover,cover up
cover up,cover up
create,generate
created,generate
credit,credit
credits,credit
criminalize,prosecute
criticism of,faced criticism
criticize,criticism of
criticizes,criticism of
critique,critique
cross,cross
cultivate,cultivate
curate,curate
cut,cut
cut back,cut
cut out,cut
cut ties with,strengthen ties with
damage,damage
date,date
decide,decide
declare,declare
declare independence,declare independence
declare unconstitutional,declare unconstitutional
declared,declare
decline,decline
decline in support for,decline in support for
decorated with,decorated with
decrease,reduce
deem,deem
deepen,deepen
default,default
defeat,defeat
defeated,defeat
defeated by,defeated by
defeated in,defeated by
defeating,defeat
defend,defender of
defended,defender of
defender of,defender of
defer,defer
define,define
defraud,defraud
delay,delay
delegate,delegate
delete,delete
deliver,deliver
delivered,deliver
demand,demand
demand investigation,demand
demand resignation,call for resignation
denied,deny entry to
denigrate,denigrate
denounce,denounce
deny,deny entry to
deny entry to,deny entry to
deplete,deplete
deploy,deploy
derail,derail
deregulate,deregulate
descend from,descended from
descended from,descended from
describe,described as
describe as,describe as
described as,describe as
design,design
designate,designate
desire,desire
despise,despise
destroy,destroy
detain,detain
determine,determine
develop,develop
developed,develop
deviate from,deviate from
dictate,dictate
did well in,did well in
die in,die in
direct,direct
disable,disable
disagree with,disagree with
disappeared on,disappeared on
disapprove,disapprove
disburse,disburse
discipline,discipline
disclose,disclose
discourage,discourage
discover,discover
discredit,discredit
discuss,discuss
disdain,disdain
disliked,dislike
dismiss,dismiss
dismissed,dismiss
disparage,disparage
dispatch,dispatch
dispute,dispute
disputed,dispute
disqualify,disqualify
disregard,ignore
disrupt,disrupt
dissolve,dissolve
distant from,distant from
distribute,distribute
divert,divert
divide,divide into
divide into,divide into
divide on,divide
divorce,divorce
do better among,do better among
document,document
dominance of,dominance of
dominate,dominate
dominated,dominate
donate,donations
donated to,donations
donations,donations
double,double
downplay,downplay
draft,draft
drag,drag
draw,draw upon
draw upon,draw upon
drive,drive
drop,drop
drop out,drop
earn,earn
earned,earn
echo,echo
elect,elect
elected,elect
elected as,elected as
elected to,elected as
elects,elect
elevate,elevate
eliminate,eliminate
embark on,embark on
embrace,embrace
emerge from,emerge from
emigrate,emigrate
emigrated from,emigrated from
emigrated to,emigrated from
emphasis,emphasis
emphasis on,emphasis
emphasize,emphasis
employ,employed at
employed at,work at
empower,empower
enact,enact
encourage,encourage
encourages,encourage
end,end
