abandon,abandon
abandonment of,abandonment of
abolish,abolish
accede to pressure from,accede to pressure from
accelerate,accelerate
accept,accept
accept as,accept as
accept with,accept with
accepted as,accepted as
accepts,accept
access,access
accessing,access
accommodate,accommodate
accompanied,accompany
accuse,accuse
accused,accuse
accused in,accused in
accused of,accused of
achieve,achieve
achieved,achieve
acknowledge,acknowledge
acquiesce,acquiesce
acquire,acquire
acquired,acquire
acquit,acquit
act as checks on,act as checks on
acted as,acted as
adapt,adapt
add,add
address,address
addressed,address
adjacent to,adjacent to
administer,administer
admire,admire
admit,admit
adopt,adopt
advance,advance
advance on,advance on
advance to,advance to
adversely affect,adversely affect
advise,advise
advised against,advised against
advisor,advisor
advocate,advocate
advocate for,advocate for
advocated,advocate
affect,affect
affirm,reaffirm
against,against
aggravate,aggravate
agree,agree
agree to,agree to
agree to run for,agree to run for
agree to withdraw,agree to withdraw
agree to work,agree to work
aim to comply with,aim to comply with
alert,alert
align,align
allege,allege
allow,allow
allowed release,allowed release
allowing,allow
allude to,allude to
analyses,analyse
analyze,analyze
annex,annex
announce,announce
answer,answer
antagonize,antagonize
anti,anti
apologize for,apologize for
apologize to,apologize to
appeal,appeal
appeal for,appeal for
appeal to,appeal to
appealed,appeal
appealed to,appealed to
appear,appear
appear at,appear at
appear in,appear in
appear on,appear on
appearances on,appearances on
apply,apply
apply to,apply to
appoint,appoint
appoint as,appoint as
appointed,appoint
appointed as,appointed as
approach,approach
approached,approach
approve,approve
argue,contend
argue against,argue against
argue for,argue for
arise,arise
arm and train,arm and train
arouse,arouse
arrange,arrange
arrest warrant,arrest warrant
arrested by,arrested by
arrive in,arrive in
ask,ask
ask about,ask about
assassination,assassination
assemble,assemble
assert,assert
assert right to intervene,assert right to intervene
assess,determine
assign,assign
assigned to,assigned to
assist,assist
assume,assume
assume ownership,assume ownership
assumed,assume
assumed position,assumed position
assumes,assume
assured of,assured of
attack,attack
attempt,attempt
attempt occupation,attempt occupation
attempted rollback halted by,attempted rollback halted by
attempted to recruit,attempted to recruit
attend,attend
attends,attend
attract,attract
attribute,attribute
auctioned,auction
author,author
authorize,authorize
average,average
avert,avert
avoid,avoid
avoid mention of,avoid mention of
avoided discussions about,avoided discussions about
award,award
awarded,award
aware of,aware of
back,back
back down,back down
backed,back
balance,balance
ban,ban
baptize,baptize
bar,bar
bask in,bask in
be active in,be active in
be at odds with,be at odds with
be critical of,be critical of
be good for,be good for
be in,be in
be with,be with
be worth,be worth
became,become
became active in,became active in
become,become
become effective,become effective
begin,begin
begin career in,begin career in
begin construction in,begin construction in
believe,say
believe in,believe in
belonging to,belonging to
benefit from,benefit from
bill,bill
blame,blame
blind to,blind to
block,block
blocked,block
bolster,boost
boost,boost
born in,born in
born on,born on
borrow,borrow
bought,buy
break,break
bring,bring
bring in,bring in
bring into violation,bring into violation
broke,break
build,construct
built for,built for
burnt,burn
business associate of,business associate of
buy,sell
call,call
call for,call for
call for end,call for end
call for resignation,call for resignation
call for restrictions on,call for restrictions on
call on,call on
campaign,campaign
campaign against,campaign against
campaign for,campaign for
campaigned for,campaigned for
campaigns against,campaigns against
cancel,postpone
capitalize on,capitalize on
capture,capture
care,care
cared by,cared by
carry,carry
carry out,carry out
cast,cast
cast vote in support of,cast vote in support of
categorize,classify
cause,cause
caused,cause
cease,cease
celebrate,celebrate
cement,cement
centralise,centralise
certified,certify
chair,chair
change,change
characterize,describe
characterized by,characterized by
charge,charge
charge with,charge with
charged with,charged with
cheat,cheat
check,check
child of,child of
choose,choose
circumvention,circumvention
cite,cite
cited,cite
claim,claim
claim responsibility for,claim responsibility for
clarify,clarify
classify,classify
clear,clear
cleared,clear
clerk for,clerk for
clerked at,clerked at
close,close
co-authored,co-author
co-found,co-found
co-founded,co-founded
co-host,co-host
co-opt,co-opt
co-produce,co-produce
co-producer,co-producer
co-sponsor,co-sponsor
coalesce around,coalesce around
codify,codify
cofound,cofound
coincide with,coincide with
collaborate,collaborate
collaborate closely with,collaborate closely with
collapse,collapse
collect,collect
collected,collect
combat,combat
combine,combine
combine with,combine with
come from,come from
commence,begin
commend,commend
comment on,comment on
commentary in,commentary in
commission,commission
commit,commit
commit to,commit to
committed to,committed to
communicate,communicate
communicate with,communicate with
commute,commute
compare,compare
compare to,compare to
compete,compete
compete against,compete against
compete for,compete for
complete,complete
complete denuclearization,complete denuclearization
comply,comply
comply with,comply with
compose,compose
composed of,composed of
compromise,compromise
concede,concede
concede to,concede to
concern,concern
concerned about,concerned about
concerned with,concerned with
conclude,conclude
condemn,denounce
condemned as,condemned as
conduct,conduct
conducted by,conducted by
confident in,confident in
confirm,confirm
confirms,confirm
conflict,conflict
conflict with,conflict with
confront,confront
confronted by,confronted by
congratulate,congratulate
connect with,connect with
consider,consider
considered,consider
considers,consider
consist of,consist of
consists of,consists of
consolidate,consolidate
construct,construct
consult,consult
consultant,consultant
consultant to,consultant to
consummate,consummate
contact,contact
contain,contain
contemplated,contemplate
contend,contend
continue,continue
contradict,contradict
contrast,contrast
contribute to,contribute to
contributed to,contributed to
control,control
convene,convene
convert,convert
convict,convict
convicted of,convicted of
convince,persuade
cooperate,cooperate
copy,copy
correlate,correlate
cosponsor,cosponsor
cost,cost
could build,could build
count,count
counted on,counted on
countered,counter
countersue,countersue
countersued,countersued
cover,cover
cover up,cover up
create,create
created,create
credit,credit
credits,credit
criminalize,criminalize
criticism of,criticism of
criticize,criticize
criticizes,criticize
critique,critique
cross,cross
cultivate,cultivate
curate,curate
cut,cut
cut back,cut back
cut out,cut out
cut ties with,cut ties with
damage,damage
date,date
decide,decide
declare,declare
declare independence,declare independence
declare unconstitutional,declare unconstitutional
declared,declare
decline,decline
decline in support for,decline in support for
decorated with,decorated with
decrease,decrease
deem,deem
deepen,deepen
default,default
defeat,defeat
defeated,defeat
defeated by,defeated by
defeated in,defeated in
defeating,defeat
defend,defend
defended,defend
defender of,defender of
defer,defer
define,define
defraud,defraud
delay,delay
delegate,delegate
delete,delete
deliver,deliver
delivered,deliver
demand,demand
demand investigation,demand investigation
demand resignation,demand resignation
denied,deny
denigrate,denigrate
denounce,denounce
deny,deny
deny entry to,deny entry to
deplete,deplete
deploy,deploy
derail,derail
deregulate,deregulate
descend from,descend from
descended from,descended from
describe,describe
describe as,describe as
described as,described as
design,design
designate,designate
desire,desire
despise,despise
destroy,destroy
detain,detain
determine,determine
develop,develop
developed,develop
deviate from,deviate from
dictate,dictate
did well in,did well in
die in,die in
direct,direct
disable,disable
disagree with,disagree with
disappeared on,disappeared on
disapprove,disapprove
disburse,disburse
discipline,discipline
disclose,disclose
discourage,discourage
discover,discover
discredit,discredit
discuss,discuss
disdain,disdain
disliked,dislike
dismiss,dismiss
dismissed,dismiss
